*chamber,*recipe,*start_time,*end_time,*pjid,*cjid,*slot,Gas2 P1 Press[_kgf/cm2G]_-1_Avg,LowerTemp[degC]_-1_Avg,Gas14 P2 Press[_kgf/cm2G]_-1_Avg,Gas6 P2 Press[_kgf/cm2G]_-1_Avg,Gas5 Temp[degC]_-1_Avg,Gas16 Temp[degC]_-1_Avg,HF Phase_-1_Avg,APC Position[deg]_-1_Avg,Gas12 Temp[degC]_-1_Avg,Gas16 P1 Press[_kgf/cm2G]_-1_Avg,Gas9 Temp[degC]_-1_Avg,C4F8  (14)Flow@[SCCM]_-1_Avg,DeposhieldHeat OutPut[%]_-1_Avg,Gas14 Valve Output[%]_-1_Avg,Gas6 Valve Output[%]_-1_Avg,Gas8 P1 Press[_kgf/cm2G]_-1_Avg,Gas11 P1 Press[_kgf/cm2G]_-1_Avg,Pin Speed[mV]_-1_Avg,LF.RFVpp[V]_-1_Avg,Dynamic Process@_-1_Avg,ChamberPressure@[mTorr]_-1_Avg,UpperBRTemp[degC]_-1_Avg,UpperFlowRate[L/min]_-1_Avg,O2    (15)Flow@[SCCM]_-1_Avg,Gas3 P1 Press[_kgf/cm2G]_-1_Avg,MiddleFlowRatio@_-1_Avg,EdgeHePress@[Torr]_-1_Avg,HF.RF Power(H)[W]_-1_Avg,Edge Flow Ratio_-1_Avg,UpperBR.Valve[L/min]_-1_Avg,Gas4 Valve Output[%]_-1_Avg,HF.PulseDuty@[%]_-1_Avg,UpperTemp[degC]_-1_Avg,APCHeat OutPut[%]_-1_Avg,C4F6  (3)Flow@[SCCM]_-1_Avg,Gas12 Valve Output[%]_-1_Avg,O2    (15)Flow[SCCM]_-1_Avg,Gas9 P1 Press[_kgf/cm2G]_-1_Avg,HF.RFVpp[V]_-1_Avg,Edge He Flow[SCCM]_-1_Avg,Gas12 P1 Press[_kgf/cm2G]_-1_Avg,Center Gas Flow[SCCM]_-1_Avg,Gas8 Temp[degC]_-1_Avg,Pin Torque[mV]_-1_Avg,DeposhieldTopTemp[degC]_-1_Avg,Gas13 P2 Press[_kgf/cm2G]_-1_Avg,DATA-A_-1_Avg,Gas2 Temp[degC]_-1_Avg,Gas4 Temp[degC]_-1_Avg,Edge Gas Flow[SCCM]_-1_Avg,Gas6 Temp[degC]_-1_Avg,Gas5 P2 Press[_kgf/cm2G]_-1_Avg,DeposhieldTopTemp@[degC]_-1_Avg,Gas4 P1 Press[_kgf/cm2G]_-1_Avg,Gas12 P2 Press[_kgf/cm2G]_-1_Avg,DATA-D_-1_Avg,HF Mag_-1_Avg,Gas4 P2 Press[_kgf/cm2G]_-1_Avg,ChamberPressure[mTorr]_-1_Avg,LF Mag_-1_Avg,C4F6  (3)Flow[SCCM]_-1_Avg,Gas5 Valve Output[%]_-1_Avg,Gas13 Valve Output[%]_-1_Avg,Gas16 Valve Output[%]_-1_Avg,LowerTemp@[degC]_-1_Avg,Gas13 P1 Press[_kgf/cm2G]_-1_Avg,Gas8 Valve Output[%]_-1_Avg,ShutterTemp@[degC]_-1_Avg,Gas5 P1 Press[_kgf/cm2G]_-1_Avg,Gas14 Temp[degC]_-1_Avg,Gas3 Valve Output[%]_-1_Avg,ShutterHeat OutPut[%]_-1_Avg,DATA-B_-1_Avg,Gas9 P2 Press[_kgf/cm2G]_-1_Avg,Gas3 Temp[degC]_-1_Avg,ESCVoltage@[V]_-1_Avg,Center Flow Ratio_-1_Avg,CenterFlowRatio@_-1_Avg,Gas11 Valve Output[%]_-1_Avg,EdgeFlowRatio@_-1_Avg,Gas10 Temp[degC]_-1_Avg,Gas7 Temp[degC]_-1_Avg,UpperELTemp[degC]_-1_Avg,C1Pos@_-1_Avg,Gas16 P2 Press[_kgf/cm2G]_-1_Avg,C2Pos@_-1_Avg,Middle Flow Ratio_-1_Avg,Dynamic Process_-1_Avg,Gas8 P2 Press[_kgf/cm2G]_-1_Avg,Gas9 Valve Output[%]_-1_Avg,C2Pos_-1_Avg,Gas14 P1 Press[_kgf/cm2G]_-1_Avg,C1Pos_-1_Avg,Gas3 P2 Press[_kgf/cm2G]_-1_Avg,Gas11 P2 Press[_kgf/cm2G]_-1_Avg,Gas2 P2 Press[_kgf/cm2G]_-1_Avg,Gas6 P1 Press[_kgf/cm2G]_-1_Avg,UpperHeat OutPut[%]_-1_Avg,HF.RF Power(L)[W]_-1_Avg,Gas10 P2 Press[_kgf/cm2G]_-1_Avg,Runtime[sec]_-1_Avg,Gas15 Temp[degC]_-1_Avg,DATA-C_-1_Avg,Gas15 Valve Output[%]_-1_Avg,Gas13 Temp[degC]_-1_Avg,HF.RF Power(H)@[W]_-1_Avg,LF Phase_-1_Avg,Gas7 Valve Output[%]_-1_Avg,HF.RF Power(L)@[W]_-1_Avg,Gas11 Temp[degC]_-1_Avg,APC Temp[degC]_-1_Avg,Gas2 Valve Output[%]_-1_Avg,UpperCoolHeat OutPut[%]_-1_Avg,UpperTemp@[degC]_-1_Avg,Gas15 P1 Press[_kgf/cm2G]_-1_Avg,HF.Pulse Duty[%]_-1_Avg,C4F8  (14)Flow[SCCM]_-1_Avg,Gas10 Valve Output[%]_-1_Avg,Gas10 P1 Press[_kgf/cm2G]_-1_Avg,APCTemp@[degC]_-1_Avg,EdgeHePress[Torr]_-1_Avg,Middle Gas Flow[SCCM]_-1_Avg,ShutterTemp[degC]_-1_Avg,Gas7 P1 Press[_kgf/cm2G]_-1_Avg,ESC Voltage[V]_-1_Avg,ESC Current[uA]_-1_Avg,Gas7 P2 Press[_kgf/cm2G]_-1_Avg,Gas15 P2 Press[_kgf/cm2G]_-1_Avg
SEC_ESTTF51_FJ4197/PM-1,Process/P1/RUN/T-WLDC-60-ARP9,2022/4/3 1:41,2022/4/3 1:42,F07WP.JJ_042827,F07WP.JJ_042827,2,-0.71,60.011147,-1.02,-0.85,29.7,30.4,501.6753,19.029242,28.7,-1.02,29.8,0,30.699516,0,0,-0.8,1.2891922,0,0,0,427.88336,35,15.2,0,-1.01,36.309532,0,357.2165,36.976738,0.4,0,0,149.99193,68.24717,0,0,-0.002,-0.31,359.93054,-0.003877221,-1.02,379.38528,28.9,0,149.76768,1.32,0,43.823265,31.7,691.8003,28.5,-0.70042,150,-0.69,-1.02,0,493.06784,-0.69,412.43134,500,0.004,7.8184166,0.1,0,60,1.32,0,150,-0.5033764,41.1,0,64.00162,0,-0.31,37.3,0,45.26995,45.29822,51.63651,37.13021,29.3,28.9,149.99193,0,-1.02,0,36.789337,0,-0.81,0,417.7787,-1.02,309.6365,-1.02,-0.5826979,-0.71,-0.85,55.998386,0,-0.87,31,31.6,0,0,30.4,357.67368,500,8.754604,0,29.016155,90,0,20,150,-1.02,0,0,0,-0.87,90,0.15735057,413.9168,149.59839,0.5611309,0,0.19547658,0.15988691,-1.02
SEC_ESTTF51_FJ4197/PM-1,Process/P1/RUN/T-WLDC-60-ARP9,2022/4/1 16:03,2022/4/1 16:04,F08ZX.U5_063206,F08ZX.U5_063206,24,-0.72,59.99903,-1.02,-0.74,30.1,30.5,501.7609,19.000322,28.8,-1.02,30,0,30.907915,0,0,-0.81,1.292908,0,0,0,427.88336,35,15.2,0,-1.01,36.309532,0,357.16156,38.75331,0.4,0,0,149.95316,68.42326,0,0,-0.002,-0.4,360.25687,0,-1.02,376.50598,29.1,0,149.74007,1.31,0,49.4,32.1,695.37866,28.8,-0.56835216,150,-0.7,-1.02,0,485.50888,-0.7,412.63635,500,0.004,7.856058,0.1,0,60,1.31,0,150,-0.37106624,41.1,0,63.993538,0,-0.4,37.6,0,46.63974,45.29822,51.60953,37.13021,29.5,29.1,149.95316,0,-1.02,0,37.991436,0,-0.81,0,417.24878,-1.02,311.98868,-1.02,-0.58263326,-0.72,-0.74,58.305332,0,-0.87,31,31.7,0,0,30.4,357.67368,500,8.748303,0,29.134249,90,0,20,150,-1.02,0,0,0,-0.87,90,0.13376413,408.5651,149.58466,0.055525042,0,0.19386107,-0.34520194,-1.02
SEC_ESTTF51_FJ4197/PM-1,Process/P1/RUN/T-WLDC-60-ARP9,2022/4/1 15:57,2022/4/1 15:58,F08ZX.U5_063206,F08ZX.U5_063206,22,-0.71,60.00645,-1.02,-0.68,30.1,30.5,501.6742,19.05258,28.8,-1.02,30,0,30.71613,0,0,-0.81,1.290242,0,0,0,428.16098,35,15.2,0,-1.01,36.304195,0,356.67096,40.343872,0.4,0,0,149.96242,68.564514,0,0,-0.002,-0.31,359.59677,-0.003870968,-1.02,375.6766,29.1,0,149.80177,1.31,0,49.4,32.1,695.20514,28.8,-0.45190322,150,-0.7,-1.02,0,487.32742,-0.7,411.69064,500,0.004,7.8519354,0.1,0,60,1.31,0,150,-0.25491935,41.1,0,63.99355,0,-0.31,37.5,0,48.14016,45.27839,51.595966,37.12516,29.5,29.1,149.96242,0,-1.02,0,39.513065,0,-0.81,0,417.5129,-1.02,311.76935,-1.02,-0.5849355,-0.71,-0.68,58.012905,0,-0.87,31.05,31.701775,0,0,30.4,357.09677,500,8.734194,0,29.05516,90,0,20,150,-1.02,0,0,0,-0.87,90,0.18451613,407.64822,149.60161,0.46175808,0,0.23064516,0.06135484,-1.02
SEC_ESTTF51_FJ4197/PM-1,Process/P1/RUN/T-WLDC-60-ARP9,2022/4/1 15:52,2022/4/1 15:53,F08ZX.U5_063206,F08ZX.U5_063206,21,-0.71,60.00483,-1.02,-0.7,30.1,30.5,501.79227,19.01401,28.8,-1.02,30,0,30.995169,0,0,-0.81,1.2928181,0,0,0,428.43768,35,15.2,0,-1.01,36.298874,0,355.94525,35.573914,0.4,0,0,149.97101,68.71497,0,0,-0.002,-0.3299839,359.09662,-0.002898551,-1.02,377.43268,29.1,0,149.73671,1.31,0,49.4,32.1,696.96106,28.8,-0.49305958,150,-0.7,-1.02,0,485.22867,-0.7,412.80273,500,0.004,7.8412237,0.1,0,60,1.31,0,150,-0.29650563,41.1,0,63.861515,0,-0.33,37.501125,0,43.528664,45.258614,51.644444,37.12013,29.5,29.1,149.97101,0,-1.02,0,34.899197,0,-0.81,0,417.50565,-1.02,312.55396,-1.02,-0.5878583,-0.71855074,-0.7,57.959743,0,-0.87,31.1,31.7,0,0,30.4,356.52173,500,8.718841,0,29.126892,90,0,20,150,-1.02,0,0,0,-0.87,90,0.13929147,410.16376,149.66183,0.6273591,0,0.2447665,0.22748792,-1.02
SEC_ESTTF51_FJ4197/PM-1,Process/P1/RUN/T-WLDC-60-ARP9,2022/4/1 15:47,2022/4/1 15:48,F08ZX.U5_063206,F08ZX.U5_063206,20,-0.71,60.00645,-1.02,-0.71,30.1,30.5,501.84515,19.044193,28.8,-1.02,30,0,31.079033,0,0,-0.81,1.2906451,0,0,0,428.16098,35,15.2,0,-1.01,36.304195,0,356.56937,35.375805,0.4,0,0,149.98065,68.658066,0,0,-0.002,-0.32,359.64355,-0.003064516,-1.02,377.59775,29.1,0,149.74258,1.31,0,49.4,32.1,692.0584,28.8,-0.509629,150,-0.7,-1.02,0,486.08066,-0.7,413.0924,500,0.004,7.85871,0.1,0,60,1.31,0,150,-0.31277418,41.1,0,63.774193,0,-0.32,37.573063,0,43.55387,45.27839,51.66516,37.12516,29.5,29.1,149.98065,0,-1.02,0,35.27097,0,-0.81,0,417.0758,-1.02,312.1371,-1.02,-0.5897097,-0.71,-0.71,57.085484,0,-0.87,31.05,31.7,0,0,30.4,357.09677,500,8.724838,0,29.149677,90,0,20,150,-1.02,0,0,0,-0.87,90,0.13290323,415.175,149.65485,0.35430646,0,0.17258064,-0.04585484,-1.02
SEC_ESTTF51_FJ4197/PM-1,Process/P1/RUN/T-WLDC-60-ARP9,2022/4/1 15:42,2022/4/1 15:43,F08ZX.U5_063206,F08ZX.U5_063206,19,-0.72,60.007915,-1.02,-0.71001613,30.1,30.5,501.6769,18.988045,28.8,-1.02,30,0,31.069468,0,0,-0.81,1.2950243,0,0,0,427.88336,35,15.2,0,-1.01,36.309532,0,357.1341,35.606785,0.4,0,0,149.96608,68.497574,0,0,-0.002,-0.33,360.06622,-0.00355412,-1.02,378.54767,29.1,0,149.74103,1.31,0,49.4,32.1,697.1257,28.8,-0.5178675,150,-0.7,-1.02,0,486.32794,-0.7,413.42795,500,0.004,7.9462037,0.1,0,60,1.31,0,150,-0.31898224,41.1,0,64.63974,0,-0.33,37.6,0,43.583843,45.29822,51.805332,37.13021,29.5,29.1,149.96608,0,-1.02,0,34.969467,0,-0.81,0,417.65588,-1.02,311.8837,-1.02,-0.587496,-0.72,-0.72,57.46042,0,-0.87,31,31.8,0,0,30.4,357.67368,500,8.783198,0,29.162682,90,0,20,150,-1.02,0,0,0,-0.87,90,0.13376413,411.07333,149.52956,0.50760907,0,0.18739903,0.10297254,-1.02
SEC_ESTTF51_FJ4197/PM-1,Process/P1/RUN/T-WLDC-60-ARP9,2022/4/1 15:29,2022/4/1 15:30,F08ZX.U3_061436,F08ZX.U3_061436,8,-0.75,60.00162,-1.02,-0.72,30.1,30.5,502.0859,19.129011,28.8,-1.02,30,0,30.990276,0,0,-0.81,1.2947164,0,0,0,427.32544,35,15.2,0,-1.01,36.32026,0,358.44733,37.2436,0.4,0,0,149.98541,68.64343,0,0,-0.002,-0.38988656,361.3452,0,-1.02,376.88995,29.1,0,149.74506,1.32,0,49.4,32.1624,696.9439,28.8,-0.534765,150,-0.7,-1.02,0,485.18637,-0.7,412.8736,500,0.004,7.889951,0.1,0,60,1.32,0,150,-0.3369692,41.1,0,63.93679,0,-0.3899838,37.6,0,45.105995,45.33809,51.755104,37.140358,29.5,29.1,149.98541,0,-1.02,0,36.416206,0,-0.81,0,416.72284,-1.02,312.00974,-1.02,-0.58664507,-0.75,-0.72,57.41005,0,-0.88,30.9,31.721556,0,0,30.4,358.83307,500,8.761912,0,29.157051,90,0,20,150,-1.02,0,0,0,-0.88,90,0.13322528,408.46548,149.65349,0.27275527,0,0.18314424,-0.12928687,-1.02
SEC_ESTTF51_FJ4197/PM-1,Process/P1/RUN/T-WLDC-60-ARP9,2022/4/1 15:25,2022/4/1 15:26,F08ZX.U3_061436,F08ZX.U3_061436,4,-0.67,60.00535,-1.02,-0.73,30.12739,30.5,502.18802,19.12496,28.8,-1.02,30,0,31.06645,0,0,-0.81,1.2949271,0,0,0,427.32544,35,15.2,0,-1.01,36.32026,0,358.49594,33.963207,0.4,0,0,149.95737,68.52512,0,0,-0.002,-0.32,361.3971,0,-1.02,379.883,29.1,0,149.74117,1.31,0,49.4,32.199677,695.6207,28.8,-0.54286873,150,-0.7,-1.02,0,485.46677,-0.7,413.00146,500,0.004,7.9742303,0.1,0,60,1.31,0,150,-0.34337115,41.1,0,64.71799,0,-0.32,37.5,0,42.233875,45.33809,51.784115,37.140358,29.5,29.1,149.95737,0,-1.02,0,33.452675,0,-0.81,0,416.41003,-1.02,311.97083,-1.02,-0.58664507,-0.67,-0.73,58.06159,0,-0.87,30.9,31.8,0,0,30.4,358.83307,500,8.799352,0,29.178606,90,0,20,150,-1.02,0,0,0,-0.87,90,0.13273907,411.79514,149.5256,0.27648297,0,0.20259319,-0.12918963,-1.02
SEC_ESTTF51_FJ4197/PM-1,Process/P1/RUN/T-WLDC-60-ARP9,2022/4/1 15:13,2022/4/1 15:14,F08ZX.1_060406,F08ZX.1_060406,1,-0.74,60.002743,-1.02,-0.7,30.2,30.6,501.79193,19.049355,28.8,-1.02,30,0,30.975807,0,0,-0.81,1.2932904,0,0,0,428.16098,35,15.2,0,-1.01,36.304195,0,356.65485,33.908066,0.4,0,0,149.96613,68.58064,0,0,-0.002,-0.37,359.36612,-1.61E-04,-1.02,379.51596,29.1,0,149.72194,1.32,0,49.4,32.2,695.21857,28.8,-0.49319354,150,-0.7,-1.02,0,487.00323,-0.7,412.90195,500,0.004,7.935,0.1,0,60,1.32,0,150,-0.29437098,41.1,0,64.67097,0,-0.37,37.6,0,42.162743,45.27839,51.674194,37.12516,29.5,29.1,149.96613,0,-1.02,0,33.42903,0,-0.81,0,417.4726,-1.02,311.75162,-1.02,-0.5854516,-0.74,-0.7,57.74355,0,-0.88,31.05,31.8,0,0,30.4,357.09677,500,8.732097,0,29.17371,90,0,20,150,-1.02,0,0,0,-0.88,90,0.13225806,411.71,149.52806,0.4122258,0,0.23225807,0.011983871,-1.02
SEC_ESTTF51_FJ4197/PM-2,Process/P2/RUN/T-WLDC-60-ARP9,2022/4/1 15:30,2022/4/1 15:31,F08ZX.U3_061436,F08ZX.U3_061436,10,-0.74,60,-1.02,-0.82,29.1,29,504.05023,19.305996,27.5,-0.88,29.6,0,30.954618,0,0,-0.83,1.3027552,0,0,0,425.38055,35,14.789303,0,-1.02,36.265156,0,358.38412,41.891895,0.40486223,0,0,149.9496,71.77472,0,0,-1.26E-04,-0.37,351.69855,-0.096596435,-1.02,378.03192,29.6,0,149.77083,1.2513291,0,47.1,30.7,694.9376,28.9,-0.6443436,150,-0.75,-1.02,0,490.94815,-0.75,410.47617,500,0,7.9337115,0.1,0,60,1.25,0,150,-0.43969205,39.13063,0,62.257698,0,-0.37,36,0,49.783306,45.451538,43.32431,37.08201,29.7,29.3,149.9496,0,-0.88,0,41.0953,0,-0.83,0,424.56564,-1.02,314.63858,-1.02,-0.57794166,-0.74,-0.82,59.578606,0,-0.88,30.9,30.4,0,0,29.5,358.83307,500,9.23047,0,28.648947,90,0,20,150,-0.94,0,0,0,-0.88,90,0.2628849,407.67163,149.63858,0.7232415,0,0.3484603,0.30465153,-0.94
